slice_index,station,cx,cy,axis_a,axis_b,theta,equivalent_radius,candidate_aspect,inlier_ratio,perimeter_completeness,soil_inside_points,soil_inside_point_frac,soil_inside_pixels,void_outside_pixels,soil_inside_frac,void_outside_frac,balanced_accuracy,cavity_quality
84,0.3467953467369087,7.349596962858034e-05,0.0034972032505090466,0.025676337074195046,0.059041016262383034,0.10020995397825373,0.038935292919868705,1.932294130813476,0.6866666666666666,1.0,2145,0.7409326424870466,259,3640,0.9384057971014492,0.9660297239915074,0.04778223945352165,0.17789291882556132
85,0.3567953467369087,-0.0004868190909924411,0.004459746977035411,0.06399415564711863,0.027388763631763527,1.609357206081619,0.041865508510386173,1.9247105612927635,0.61,1.0,2483,0.8454204971058904,257,3677,0.9244604316546763,0.9763674986723314,0.04958603483649618,0.09429349676540685
86,0.3667953467369087,-0.0011348757771149059,-0.0002983042974249578,0.05971273280092475,0.027094153474604407,1.6704474123377384,0.04022270437074439,1.9875933537868642,0.64,1.0,2398,0.8046979865771812,278,3646,0.9455782312925171,0.9722666666666666,0.041077551020408165,0.12499328859060406
87,0.37679534673690873,0.00023193769524621798,-0.00041188715353901776,0.06254403473623862,0.02801302214307682,1.585427226479334,0.04185746564214822,1.9768315105214656,0.6483333333333333,1.0,2588,0.8541254125412542,271,3683,0.954225352112676,0.9795212765957447,0.03312668564578963,0.09457535753575354
88,0.38679534673690874,-7.329339019187347e-05,0.003876093155816176,0.06492830296618803,0.027819533542085526,1.6110258726564044,0.04250029531895701,2.0570549028920793,0.5916666666666667,1.0,2640,0.8602150537634409,260,3694,0.935251798561151,0.9808815719596389,0.04193331473960502,0.08270609318996415
89,0.39679534673690875,-0.0010683088545963395,-0.0002774124372741539,0.06002915814844064,0.02755470890556738,1.5620058602100644,0.04067045584483348,1.940892943325741,0.6566666666666666,1.0,2510,0.8128238341968912,282,3646,0.9527027027027027,0.9727854855923159,0.037255905852490695,0.12291234887737477
90,0.40679534673690876,-0.0024992717075170826,-0.0007556865405922086,0.06204816608569569,0.02835575459459787,1.5813424652128272,0.041945471395263126,1.9257259442683181,0.6166666666666667,1.0,2649,0.8465963566634708,276,3664,0.9387755102040817,0.9770666666666666,0.04207891156462585,0.0945989133908597
91,0.41679534673690877,-0.0010118739333848262,-0.001988984221488691,0.061598398773808016,0.027793707967220457,1.6015497511398138,0.04137690064235854,1.96040323797371,0.6633333333333333,1.0,2616,0.8341836734693877,268,3654,0.9370629370629371,0.9723257051623204,0.045305678887371276,0.10999149659863948
92,0.4267953467369088,-0.0007897221325105903,0.004363970672632443,0.06470052587759986,0.025899297571805827,1.6249466733981768,0.040935292508497874,1.8770065722245786,0.625,1.0,2488,0.7974358974358975,242,3690,0.9307692307692308,0.9751585623678647,0.04703610343145227,0.12660256410256407
93,0.4367953467369088,-0.001584436619122803,-0.002791917173117555,0.05902811135415291,0.026561966096539855,1.6743592351736125,0.0395967510350507,1.9074172330756436,0.6466666666666666,1.0,2396,0.767948717948718,277,3639,0.9421768707482994,0.9704,0.04371156462585034,0.150059829059829
